"Query","E-bill Pre-enrollment Part 1","E-bill Pre-enrollment Part 2","E-bill Pre-enrollment Part 3","E-Bill TEMP T&C1","E-Billing T&C 1","E-Billing T&C 2","MOVE - Move In"
"6404762077899072855","1","1","1","","","","1"
"6404762107905129257","1","1","1","","","","1"
"6404762116495063879","1","1","1","","","","1"
"6404762314063560038","1","1","1","","","","1"
"6404762472968959214","1","1","1","","","","1"
"6404762524516958071","","","","","","","1"
"6404762558876696555","1","1","","","","","1"
"6404762589000181923","1","1","1","1","","1","1"
"6404762614769985729","1","1","1","","","","1"
"6404762631891124398","1","1","1","","","","1"
"6404762709259266425","1","1","","1","","1","1"
"6404762765035110952","1","1","","","","","1"
"6404762833746213017","1","1","1","1","","1","1"
"6404762932597566251","1","1","","","","","1"
"6404762954013672523","1","1","1","1","","1","1"
"6404763069969414971","1","","","","","","1"
"6404763254653009120","","","","","","","1"
"6404763782942362753","1","1","1","","","","1"
"6404763838835667796","1","1","1","1","1","1","1"
"6404763843071905098","1","1","","1","","1","1"
"6404763894611512785","1","1","1","1","1","1","1"
"6404764002044425466","1","1","1","","","","1"
"6404764195259224258","","","","","","","1"
"6404764379942818475","1","1","1","1","","1",""
"6404764380001548400","1","1","1","","","","1"
"6404764392827720383","1","1","1","1","","1","1"
"6404764401409263792","1","1","1","1","","1","1"
"6404764431482426116","1","1","1","","","","1"
"6404764513086804992","1","1","1","","","","1"
"6404764534561641536","1","1","","","","","1"
"6404764538856608860","","","","","","","1"
"6404764775079810899","1","","","","","","1"
"6404764964058372551","1","1","","","","","1"
"6404764976934883087","","","","1","1","1","1"
"6404765234632921403","","","","","","","1"
"6404765415021548230","1","1","1","1","1","1","1"
"6404765462266188641","1","1","1","","","","1"
"6404765599713534479","","","","","","","1"
"6404765866060220121","","","","","","","1"
"6404765896057886684","1","1","1","","","","1"
"6404765930426017229","1","1","","","","","1"
"6404765994842134787","","","","","","","1"
"6404765994850526889","1","1","","","","","1"
"6404766033505232673","1","1","","","","","1"
"6404766162412964173","1","1","","","","","1"
"6404766265492179488","","","","","","","1"
"6404766286967016025","1","","","","","","1"
"6404766531780152424","1","","","","","","1"
"6404766600440917517","1","1","1","1","","1","1"
"6404766626210721368","1","1","","","","","1"
"6404766755059740703","1","1","","","","","1"
"6404766879613792691","1","1","1","","","","1"
"6404767090067190878","1","1","1","","","","1"
"6404767124418536772","1","1","1","","","","1"
"6404767369231673333","1","1","1","","","","1"
"6404767395009869769","1","1","1","1","","1","1"
"6404767485262894213","1","1","1","","","","1"
"6404767562513594832","1","1","1","","","","1"
"6404767588283398678","","","","","","","1"
"6404767652699515646","1","","","","","","1"
"6404767717124025240","1","1","","","","","1"
"6404767768663632946","","","","","","","1"
"6404767785851894863","1","","","","","","1"
"6404767798736796778","1","1","1","","","","1"
"6404767815908273393","1","1","1","","","","1"
"6404767824506600708","1","1","","","","","1"
"6404767858866339274","1","1","1","","","","1"
"6404767858866339275","1","1","1","","","","1"
"6404767931872390830","","","","","","","1"
"6404767931939494128","1","1","1","","","","1"
"6404767953347227372","1","1","","","","","1"
"6404768009248905653","1","1","","","","","1"
"6404768206758675021","1","1","","","","","1"
"6404768292716747909","","1","","","","","1"
"6404768417270799871","1","1","1","","","","1"
"6404768580420831021","1","1","","1","","1","1"
"6404768610485602173","1","1","1","","","","1"
"6404768666378903726","1","1","1","","","","1"
"6404768752219523396","1","1","1","1","1","1","1"
"6404768872478608091","1","1","1","","","","1"
"6404768971262856179","1","1","","","","","1"
"6404768992729316316","","","","","","","1"
"6404769052925961370","1","1","","","","","1"
"6404769216075992840","1","1","1","","","","1"
"6404769306261929974","1","1","1","1","","1","1"
"6404769306329032470","1","","","","","",""
"6404769392161259850","1","1","1","1","","1","1"
"6404769400751194481","1","1","","","","","1"
"6404769447995834915","1","1","1","","","","1"
"6404769448062953618","1","1","1","1","","1","1"
"6404769490945507987","1","1","1","","","","1"
"6404769512487463237","1","1","1","","","","1"
"6404769697103938761","1","1","1","","","","1"
"6404769710055959333","1","1","1","1","1","1","1"
"6404769718645893940","1","1","","","","","1"
"6404769735767037380","1","1","1","","","","1"
"6404769765890534342","","","","","","","1"
"6404769783011677829","1","1","","","","","1"
"6404769817430142021","1","1","1","","","","1"
"6404769830315043944","","","","","","","1"
"6404769907565729790","1","1","1","","","","1"
"6404770070774487501","1","1","1","","","","1"
"6404770152437591980","1","1","1","","","","1"
"6404770152437591981","1","1","1","1","1","1","1"
"6404770238278212614","1","1","1","","","","1"
"6404770337121186212","1","1","1","1","","1","1"
"6404770341416153515","1","1","1","","","","1"
"6404770435905434260","","","","","","","1"
"6404770521804780374","1","1","1","","","","1"
"6404770547515858835","","","","","","","1"
"6404770646358832274","1","1","1","","","","1"
"6404770766617916841","1","1","1","","","","1"
"6404770788025635311","1","1","1","","","","1"
"6404771019962262925","1","1","1","","","","1"
"6404771058616968755","","","","","","","1"
"6404771093035432080","1","1","1","","","","1"
"6404771247587137672","1","1","1","","","","1"
"6404771269070366834","1","","","","","","1"
"6404771423680797427","","","","","","","1"
"6404771466638863003","","","","","","","1"
"6404771595546606828","1","1","","","","","1"
"6404771724336901512","1","1","1","1","","1","1"
"6404771758755364445","","","","","","","1"
"6404772042223190191","1","1","1","","","","1"
"6404772149597372834","1","1","1","","","","1"
"6404772153892340155","1","1","1","1","1","1","1"
"6404772329927292058","1","1","1","","","",""
"6404772338508834627","1","1","1","","","","1"
"6404772484537723155","1","1","","","","","1"
"6404772609158874437","1","1","","","","","1"
"6404772660698482091","","","","","","","1"
"6404772682173318632","1","","","1","","1","1"
"6404772690696154029","1","1","1","","","","1"
"6404772841020009881","","1","","","","","1"
"6404772965582453712","","","","","","","1"
"6404773330646283082","1","1","1","","","","1"
"6404773450905367722","1","1","1","1","","1","1"
"6404773558279550524","1","1","1","","","","1"
"6404773571172827919","","","","","","","1"
"6404773571172827926","1","1","1","","","","1"
"6404773605532566402","","","","","","","1"
"6404773609827533706","","","","","","","1"
"6404773614122501020","1","1","1","","","","1"
"6404773644178896752","1","","","","","",""
"6404773691431912558","1","1","","","","","1"
"6404773747266487539","1","1","1","1","","1","1"
"6404773927713837141","1","1","","","","","1"
"6404774082332660111","1","1","1","","","","1"
"6404774352856877993","","","","","","","1"
"6404774365733404547","1","1","1","1","","1","1"
"6404774365741779946","1","1","","1","","1","1"
"6404774374331714582","1","1","1","","","","1"
"6404774382921649195","","","","","","","1"
"6404774400093126658","1","1","1","","","","1"
"6404774413045142651","","","","","","","1"
"6404774434461256900","","","","","","","1"
"6404774473115962648","1","","","1","1","1","1"
"6404774537532080644","1","1","1","1","","1","1"
"6404774773763674211","1","1","1","","","","1"
"6404774790943543481","1","1","1","","","","1"
"6404774851064694210","","","","","","","1"
"6404774915497595430","","","","","","","1"
"6404774928382497372","","","","","","","1"
"6404774928441219386","1","1","1","","","","1"
"6404774936972431980","","","","","","1","1"
"6404775143130862746","1","1","1","1","1","1","1"
"6404775156074486568","1","1","1","","","","1"
"6404775173187242409","1","1","","1","","1","1"
"6404775220440274383","1","1","1","1","1","1","1"
"6404775366460771321","","","","1","1","1","1"
"6404775675706809274","1","1","1","","","","1"
"6404775684296743901","1","1","1","","","","1"
"6404775705771580463","","1","","","","","1"
"6404775959174651611","1","","","","","","1"
"6404775967823307255","","","","","","","1"
"6404775976346129353","1","1","1","","","","1"
"6404776040779030452","","","","","","","1"
"6404776062253866995","1","1","1","1","","1","1"
"6404776130964952533","","","","","","","1"
